college,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Accept_Rate,Outstate_Tier,Outstate_Tier_encoded,Private_encoded,Apps_trans_scaled,Accept_trans_scaled,Enroll_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Accept_Rate_scaled,Outstate_Tier_encoded_scaled,Private_encoded_scaled,Top25perc_trans,Room.Board_trans
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,0.0277941705422539,0.04102778809106515,0.49337479126560313,-0.053119072030679164,0.4335994064806973,0.3001555111149251,-0.6934490715406573,-0.6142542943018506,1.2713984995422554,-0.27913443822970246,-0.28237352323745246,1.0179463813154224,-0.8347120424139982,-0.49118269843375684,0.7421686746987952,Low,0,1,0.027794170542254523,0.041027788091066816,0.4933747912656024,-0.053119072030679226,0.43359940648069784,0.3001555111149254,-0.6934490715406575,-0.6142542943018524,1.2713984995422556,-0.27913443822970246,-0.2823735232374524,1.0179463813154224,-0.8347120424139983,-0.491182698433797,-0.032372339112454566,-1.2845558233198398,0.6125530498969481,3.970291913552122,8.101980731853192
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,0.2829202044206763,0.48582101119642335,0.14221363903731324,-0.5849046607537621,0.36538161940562885,0.8682389489526622,0.5562683365380878,1.302364971752549,0.45655088669276045,-2.1547374751669635,-2.2481293668347866,-0.43508339525120426,-0.43232901744623836,0.5523622369819019,0.8801463860933212,High,2,1,0.2829202044206769,0.485821011196425,0.14221363903731254,-0.5849046607537622,0.3653816194056294,0.8682389489526624,0.5562683365380876,1.3023649717525472,0.4565508866927608,-2.1547374751669635,-2.2481293668347866,-0.43508339525120465,-0.4323290174462384,0.5523622369818617,0.9061926295687938,0.5915717607393999,0.6125530498969481,3.4011973816621555,8.771990436532242
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,-0.11391602631457125,-0.07704594452120472,-0.31597748023315525,-0.12094221917214974,-0.6367744332943974,-0.7272538841097259,0.32201070401890103,-1.0385747647777013,-0.06865514322540396,-1.236939816910309,-1.0407110988557453,-0.2502164766951095,0.6744919461391042,0.09639280596058719,0.7682072829131653,High,2,1,-0.11391602631457062,-0.07704594452120306,-0.31597748023315597,-0.12094221917214981,-0.6367744332943969,-0.7272538841097257,0.32201070401890075,-1.038574764777703,-0.06865514322540363,-1.236939816910309,-1.0407110988557453,-0.2502164766951098,0.6744919461391043,0.09639280596054699,0.14474993126166572,0.5915717607393999,0.6125530498969481,3.9318256327243257,8.229777750081887
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,-1.3327694509817885,-1.2944460591988176,-1.3963882439476925,1.6144757210802636,-1.5312067984905091,-0.9740319705249559,0.7039260224445798,-0.6142542943018506,-0.6517337339065565,1.3330771206617404,1.3645882269351624,-1.7418719033014816,1.1257980950091877,1.726997292492287,0.8369304556354916,High,2,1,-1.3327694509817878,-1.294446059198816,-1.3963882439476931,1.6144757210802636,-1.5312067984905084,-0.9740319705249557,0.7039260224445796,-0.6142542943018524,-0.6517337339065562,1.3330771206617404,1.3645882269351624,-1.7418719033014822,1.125798095009188,1.7269972924922468,0.6122251618760879,0.5915717607393999,0.6125530498969481,4.499809670330265,8.603554357064281
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,-2.1530495876645794,-2.2876081768570704,-2.65921245857165,-0.5849046607537621,-2.5889009383551747,0.6254175275588529,-0.6567761844143083,1.5536080205663902,0.45655088669276045,0.11906038882416063,-0.6870519494859656,-0.5155706906011422,-2.3293571320628965,0.6370436045066592,0.7564766839378239,Medium,1,1,-2.153049587664579,-2.2876081768570686,-2.659212458571651,-0.5849046607537622,-2.588900938355174,0.6254175275588532,-0.6567761844143085,1.5536080205663885,0.4565508866927608,0.11906038882416065,-0.6870519494859656,-0.5155706906011426,-2.329357132062897,0.637043604506619,0.06495494735718245,-0.34649203129021994,0.6125530498969481,3.8066624897703196,8.323851131338817
Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,,73,9.4,11,9727,55,-0.9831669114228404,-0.9481727219266437,-1.2145441688060648,0.7690207208177242,-1.1550990508649248,-1.198570026058043,0.817596785733177,-0.2291945977334828,-1.1697588647170762,,-0.6232192944825511,-1.2201811501799786,-0.9453261392418362,0.3648514210769269,0.8160136286201022,High,2,1,-0.9831669114228397,-0.948172721926642,-1.2145441688060654,0.7690207208177241,-1.1550990508649241,-1.1985700260580427,0.8175967857331767,-0.22919459773348455,-1.169758864717076,,-0.6232192944825511,-1.220181150179979,-0.9453261392418363,0.36485142107688673,0.4699427534045053,0.5915717607393999,0.6125530498969481,4.143134726391533,8.112527763478637
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,-1.5063000160279125,-1.3233585872439582,-1.7722654599603764,-0.4994689411839057,-1.8150655120615597,-0.2364992154928749,0.7737527961030578,-0.2291945977334828,0.45655088669276045,1.1692659029158703,0.9692990979140862,-0.6241261598571867,0.3918121720690085,0.13304593063730483,0.9631728045325779,High,2,1,-1.5063000160279119,-1.3233585872439566,-1.772265459960377,-0.4994689411839058,-1.815065512061559,-0.23649921549287464,0.7737527961030576,-0.22919459773348455,0.4565508866927608,1.1692659029158703,0.9692990979140862,-0.624126159857187,0.39181217206900854,0.1330459306372646,1.4709627437747088,0.5915717607393999,0.6125530498969481,3.828641396489095,8.651898894268529
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,0.15310561817763538,0.37527117760558687,0.09364363716824842,0.7226458157909562,-0.15706162447411603,-1.323847012672887,0.893359908024116,-0.6142542943018506,-0.7100928489390356,1.0886494052534617,1.6789026453905742,-0.043655140683840785,1.1257980950091877,0.7502823344555293,0.9057398630858347,High,2,1,0.153105618177636,0.37527117760558854,0.09364363716824772,0.7226458157909561,-0.15706162447411548,-1.3238470126728867,0.8933599080241158,-0.6142542943018524,-0.7100928489390352,1.0886494052534617,1.6789026453905742,-0.04365514068384104,1.125798095009188,0.7502823344554891,1.0802869864699451,0.5915717607393999,0.6125530498969481,4.23410650459726,8.481980435660493
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,-0.4193589015912839,-0.3534741603692539,-0.7700207143202807,0.3687770077049723,-0.7104745655794537,-0.06079782059427027,1.2322935057020183,-2.0483080694901465,-1.7565250573930093,0.32985855535977965,0.17590711389826053,-0.6789541266546215,0.16480222734879074,0.7802351502105349,0.8082851637764933,Very High,3,1,-0.4193589015912833,-0.3534741603692522,-0.7700207143202814,0.36877700770497224,-0.7104745655794531,-0.06079782059427001,1.2322935057020181,-2.0483080694901483,-1.7565250573930091,0.32985855535977965,0.17590711389826055,-0.6789541266546218,0.1648022273487908,0.7802351502104947,0.4173714627910875,1.5296355527690197,0.6125530498969481,4.1588830833596715,8.38958706681109
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,-0.9918073458047851,-0.906151921765511,-1.1081651194371072,-0.1910995085854955,-0.9486144612853745,-0.8587961830100914,0.13456411411234906,0.8108422001480808,0.8415717373291548,-1.797821922239352,-2.0259049331637793,-0.6241261598571867,-0.5277223848834107,0.17002953770072857,0.8556701030927835,Medium,1,1,-0.9918073458047845,-0.9061519217655093,-1.1081651194371078,-0.19109950858549554,-0.948614461285374,-0.8587961830100912,0.13456411411234878,0.8108422001480791,0.8415717373291551,-1.797821922239352,-2.0259049331637793,-0.624126159857187,-0.5277223848834108,0.17002953770068835,0.7396977547397244,-0.34649203129021994,0.6125530498969481,3.8066624897703196,8.125926802707886
